timestep,average_reward
3200,-453.0622716887551
6400,-49771.435429473815
9600,-12562.115631696033
12800,-3.1496118016883674
16000,-2.314407025270798
19200,-2.9135165601980386
22400,-2.7871169799554782
25600,-5.234201410764506
28800,-5.772203788882771
32000,-4.728269911924538
35200,-7.63033146491178
38400,-7.2191617793314915
41600,-3.997675360892938
44800,-3.605246698013113
48000,-2.7686622998635126
51200,-1.8757449481206014
54400,-2.4054614223329907
57600,-2.585152805428854
60800,-1.76400646722199
64000,-2.3873730113836835
67200,-3.1821127543874046
70400,-1.4478648459898276
73600,-2.809015985135634
76800,-1.3913083490071712
80000,-1.4740344690938019
83200,-14.555969758322624
86400,-1.4403977400031687
89600,-2.2532108177437578
92800,-1.4331023728368273
96000,-1.700654549092574
99200,-1.7642374266882177
