avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,total_timesteps,gamma,ent_coeff,timestamp,,
-6.175804488,2.702637856,3.50051881,-0.000135226,24.85236945,80.25,136.69,0.707492944,50,0.0003,256,500000,0.95,0.005,123658,,
-5.86873041,2.729214013,3.520439906,-1.62E-05,21.09716483,75,103.64,0.704701825,50,0.0003,512,500000,0.95,0.001,125721,,
-5.997373542,2.716977727,3.494716404,-0.000469568,22.8748776,74.66666667,104.01,0.695234811,50,0.0003,512,500000,0.99,0.01,131445,,
-6.154964879,2.737509578,3.530644754,0.00019665,24.04729278,74.25,104.39,0.70590168,50,0.0003,512,500000,0.95,0.01,130419,,
-6.229048576,2.738419541,3.532509457,0.000247002,24.03351679,73.41666667,103.71,0.704888255,50,0.0003,512,500000,0.99,0.005,131117,,
-5.645327278,2.717091073,3.487374413,0.000245542,17.56730625,73.25,103.69,0.699605485,50,0.0003,512,500000,0.95,0.005,130050,,
-6.716548599,2.717078412,3.47525971,-0.000796591,28.48919206,71.66666667,132.77,0.694346561,50,0.0003,256,500000,0.95,0.001,123251,,
-6.356614086,2.739914726,3.51264763,-0.00028252,25.75108889,69.83333333,132,0.697866001,50,0.0003,256,500000,0.95,0.01,124108,,
-6.252248801,2.767308292,3.558423606,-3.46E-05,23.20795983,69.75,132.52,0.703154536,50,0.0003,256,500000,0.99,0.01,125324,,
-6.245145103,2.883363443,3.691294952,0.001244029,19.44531621,66.16666667,102.39,0.716873875,400,0.0003,512,500000,0.95,0.01,143429,,
-6.144072565,2.809732463,3.587873584,9.37E-05,21.23783308,62,133.27,0.698542476,50,0.0003,256,500000,0.99,0.005,124917,,
-6.195639135,2.816151471,3.591495381,-2.89E-05,21.15843571,60.16666667,104,0.696916417,50,0.0003,512,500000,0.99,0.001,130749,,
-6.649970683,2.831848413,3.585252683,-0.000821253,22.72131191,59.91666667,133.66,0.67760121,50,0.0003,256,500000,0.99,0.001,124511,,
-6.394099219,2.839231828,3.618534182,0.000384803,23.02862247,59.5,103.39,0.707602723,100,0.0003,512,500000,0.95,0.001,134225,,
-6.856811985,2.856044071,3.619152173,5.12E-05,25.74323316,55.83333333,131.88,0.69208774,100,0.0003,256,500000,0.99,0.01,133830,,
