timestep,average_reward
800,-483.89903912219023
1600,-478.8171219090883
2400,-671.7047823961033
3200,-476.0789809223723
4000,-683.4609430666305
4800,-508.0966782844955
5600,-679.116760339836
6400,-190.1776623869524
7200,-28.5803912425887
8000,-652.696858160732
8800,-217.83519190532232
9600,-60.14975014615536
10400,-561.1427016698909
11200,-481.4824675250359
12000,-313.86572775681043
12800,-388.1542777684843
13600,-534.4921382749237
14400,-503.93692370480653
15200,-565.4728453219518
16000,-572.6695255576157
16800,-70.0424684814023
17600,-540.6324220023995
18400,-212.95096577955238
19200,-500.9388551654241
20000,-209.8040947802136
20800,-329.83820596024105
21600,-459.24117113486597
22400,-389.53150076859515
23200,-79.69253102924723
24000,-164.5737746536293
24800,-542.1201711927919
25600,-65.19414216706156
26400,-261.8950219217466
27200,-357.8816866823415
28000,-198.23708506780676
28800,-533.825379874755
29600,-416.9693320597618
30400,-397.43040731644595
31200,-379.32141362854503
32000,-589.1976081532846
32800,-71.72487163940225
33600,-180.3562967084395
34400,-359.7801826418592
35200,-253.20213746466973
36000,-53.85203845535509
36800,-77.75907839698947
37600,-165.48437101877644
38400,-586.6120255297185
39200,-44.96249194389731
40000,-435.6377278822238
40800,-419.293733189251
41600,-220.2396895270139
42400,-163.40060476010416
43200,-686.18061462642
44000,-588.613099016626
44800,-607.8411922336143
45600,-506.19617826576393
46400,-586.2116849962784
47200,-628.1427825935923
48000,-684.5328266667939
48800,-560.2366291758252
49600,-329.4005859217598
50400,-320.81661662890946
51200,-609.1114310925909
52000,-267.5666280902615
52800,-308.2372976609594
53600,-183.98724773396233
54400,-210.67528029071124
55200,-187.045251944931
56000,-450.0250115970373
56800,-191.7538138935162
57600,-210.4774793642129
58400,-543.9617872615279
59200,-128.5196005579462
60000,-652.6404601856806
60800,-660.0684972504553
61600,-446.9521629114763
62400,-464.5086107303666
63200,-141.4503577806284
64000,-227.8121545259909
64800,-480.6609490612793
65600,-453.8156587380306
66400,-557.0252474928012
67200,-605.2221636703497
68000,-520.9738190163049
68800,-405.3006913756544
69600,-468.3061499196217
70400,-301.1062025809693
71200,-292.6321695207477
72000,-84.83110395006223
72800,-143.13317931530244
73600,-109.02252514947048
74400,-360.6665265124122
75200,-91.58714892227434
76000,-386.96667369435687
76800,-75.82976160300845
77600,-628.7259733069997
78400,-265.86184565296617
79200,-446.23008715459054
80000,-529.5300892664757
80800,-674.5313418936718
81600,-622.1257582344202
82400,-559.4423744663228
83200,-137.29001319304334
84000,-301.8515386522565
84800,-567.3944507158047
85600,-635.8675395731426
86400,-653.7310923642885
87200,-135.59416420227248
88000,-335.57838880652196
88800,-96.06991482458604
89600,-502.24267979684134
90400,-430.013478829553
91200,-357.5219023858888
92000,-326.89284661504183
92800,-408.5899292826149
93600,-204.415498501498
94400,-197.69458122028166
95200,-559.6178487802204
96000,-363.3320602188654
96800,-661.0891068948164
97600,-285.07264452150156
98400,-327.16192653918193
99200,-414.0897761034609
100000,-424.77260400501325
100800,-460.19578020484585
101600,-530.4949521406509
102400,-379.6156831525291
103200,-202.76020697937557
104000,-355.2983937434565
104800,-330.1692520612588
105600,-398.94280072127003
106400,-517.8711141204875
107200,-78.4053430236056
108000,-304.1528119598171
108800,-406.56738700050397
109600,-408.43993613842196
110400,-234.6872541481776
111200,-144.84214805993489
112000,-115.24074463448466
112800,-561.8845425414975
113600,-339.4507583773153
114400,-319.7026454321874
115200,-134.52114839760722
116000,-90.56522125773354
116800,-447.9846544963083
117600,-115.19254704505451
118400,-155.58107916046515
119200,-202.36868350149317
120000,-196.43240919276062
120800,-368.7673776185565
121600,-37.80503460460895
122400,-159.56172814041065
123200,-283.18829417178324
124000,-74.59194759154464
124800,-280.55925013588666
125600,-254.34409944617656
126400,-222.59242455173253
127200,-301.09271298822057
128000,-183.0454688356854
128800,-419.581990830058
129600,-548.7992400410878
130400,-410.53166958019045
131200,-247.24406800070273
132000,-313.00315922386767
132800,-87.64838734094498
133600,-228.89067765963654
134400,-265.06592806372356
135200,-173.06074309832812
136000,-66.16687527276736
136800,-92.55600483351262
137600,-70.0164451463352
138400,-433.31892988768163
139200,-64.52975013409917
140000,-384.35751797796934
140800,-299.4946127967506
141600,-58.6510204779045
142400,-61.37516168227781
143200,-102.20574223037916
144000,-417.3377647241092
144800,-54.198245539749394
145600,-408.2199110357513
146400,-149.0811931388273
147200,-203.35493273410583
148000,-226.2020179367937
148800,-188.77464049668728
149600,-204.8988631775896
150400,-89.8443667252711
151200,-85.54062795485355
152000,-192.14054638969003
152800,-285.1238887065804
153600,-307.31842543421726
154400,-68.30039704759385
155200,-219.91836561611507
156000,-253.67496848138163
156800,-66.75073238393271
157600,-47.484856114806824
158400,-134.2172939448241
159200,-135.19140709795838
160000,-237.19412418458865
160800,-95.90879078799807
161600,-86.28796582118504
162400,-100.01840652672291
163200,-100.75277367074854
164000,-160.10749398742703
164800,-32.14226799733817
165600,-232.17229129399436
166400,-80.00978392901264
167200,-124.86381492056925
168000,-128.70285688857192
168800,-119.92316662102733
169600,-60.69718123585615
170400,-150.9769614435513
171200,-97.85233089002088
172000,-118.87457384230869
172800,-212.60802799537444
173600,-270.19308218842025
174400,-148.87581172138837
175200,-108.53165025664464
176000,-128.8803509473924
176800,-49.600183900695896
177600,-184.0254129702345
178400,-207.12590874279852
179200,-144.1281960815987
180000,-17.450331996866854
180800,-64.08638343041206
181600,-166.59923924025216
182400,-87.28225048349783
183200,-161.02000075723717
184000,-46.75482979216048
184800,-31.697748858315666
185600,-71.66617244195908
186400,-95.95403851959387
187200,-50.712552444162995
188000,-172.31428442682284
188800,-57.37433690066664
189600,-48.998575825701
190400,-42.60872534344763
191200,-106.90839869596267
192000,-44.725643927170175
192800,-68.80501690671201
193600,-213.37245730445918
194400,-161.24638991437516
195200,-156.51541575202032
196000,-204.03014440724849
196800,-67.1386454159352
197600,-101.62241756686822
198400,-71.38764462695791
199200,-31.577654942779336
200000,-28.33690684130368
200800,-206.30632133193023
201600,-53.88066585772126
202400,-88.33721496129589
203200,-99.01275938151515
204000,-187.78925268923996
204800,-237.5231531621413
205600,-18.67589620497494
206400,-103.03099525293011
207200,-68.14741684510736
208000,-129.3843163451122
208800,-56.75728710286087
209600,-68.0563777359765
210400,-104.95259954305449
211200,-89.80596993999377
212000,-129.80741111428506
212800,-71.96002793873562
213600,-53.11184532887451
214400,-194.41186665226286
215200,-88.18586254491471
216000,-173.1576262918282
216800,-153.64465728664837
217600,-192.22254700133658
218400,-180.56826964493163
219200,-53.4190395795946
220000,-89.66029547045763
220800,-64.59221711615695
221600,-61.56806670805821
222400,-58.44621340588995
223200,-96.3662598385919
224000,-161.35339736813657
224800,-120.8524010442354
225600,-34.512698794546864
226400,-82.83693541733726
227200,-49.51580435111474
228000,-151.4935033166691
228800,-84.15328353232763
229600,-18.096367475677763
230400,-62.3469690852956
231200,-35.23549602714456
232000,-24.382000974770484
232800,-58.26533924243791
233600,-31.27622161198755
234400,-92.52359733758574
235200,-38.59804298289318
236000,-80.07709891638672
236800,-101.39737844125474
237600,-46.42398670696495
238400,-109.52891370960977
239200,-59.98760100312616
240000,-18.92786115056354
240800,-159.63349545412447
241600,-128.44987558258367
242400,-31.16950147350555
243200,-118.70130319812786
244000,-152.0353424142903
244800,-208.10085583211293
245600,-63.77917622865634
246400,-8.545126977459683
247200,-46.36348693131823
248000,-46.51090534978426
248800,-36.93483949892056
249600,-65.71413740176881
250400,-19.78261178350086
251200,-25.817070147112705
252000,-40.3873245682786
252800,-9.948276595740058
253600,-54.188772315347975
254400,-57.887369451674786
255200,-52.69690338320574
256000,-50.69517453962203
256800,-53.995735219036696
257600,-14.672241200512017
258400,-31.388285699970712
259200,-11.951314909157738
260000,-24.165719584220195
260800,-61.158582623748664
261600,-18.562603222216982
262400,-67.57354787037883
263200,-19.838561166456696
264000,-26.403365789609875
264800,-29.41830531562692
265600,-27.79229185322695
266400,-22.800384840852757
267200,-28.266700049439486
268000,-11.746923710122822
268800,-19.51441195365719
269600,-46.97840507201484
270400,-6.796354005863305
271200,-31.585644922325542
272000,-16.99682632683449
272800,-20.21491161329739
273600,-10.99886592253451
274400,-31.521509758036746
275200,-24.58652989130434
276000,-28.31271366857699
276800,-27.80106458145515
277600,-35.26185216388264
278400,-32.66844211290113
279200,-22.08707186778493
280000,-29.263717723463596
280800,-42.941297662921244
281600,-24.77853517783905
282400,-21.643516740000038
283200,-29.383675809514948
284000,-32.199436379955166
284800,-8.520699401824293
285600,-7.512396153018882
286400,-34.0727567139484
287200,-11.522091213256596
288000,-27.862517363549387
288800,-25.55058909674109
289600,-20.296830873843174
290400,-51.23746329188283
291200,-14.091405988509134
292000,-27.60091393863318
292800,-32.193710543878375
293600,-18.823534421072527
294400,-27.136749933859438
295200,-22.31945437299823
296000,-24.003146700508665
296800,-22.282879964117928
297600,-17.71121542170919
298400,-28.662126782278154
299200,-8.726113798860721
300000,-13.227946356891799
300800,-19.758583836113186
301600,-4.545519359555602
302400,-21.638734929453406
303200,-16.79303801642635
304000,-16.835425089079056
304800,-14.630898501679633
305600,-17.834439877718967
306400,-26.471181886375934
307200,-17.950901027428696
308000,-21.17170977052518
308800,-26.532446371079995
309600,-13.657068342461846
310400,-24.01281629082133
311200,-22.659112778333764
312000,-12.18600479217229
312800,-16.297039788133812
313600,-2.9697378594937156
314400,-12.9148436342523
315200,-16.148324984508527
316000,-20.56350549792233
316800,-17.455491438113633
317600,-8.693702516682349
318400,-17.06437996067556
319200,-11.331153561009877
320000,-8.187828204274286
320800,-10.48038992737063
321600,-13.611183186879696
322400,-6.247552035996467
323200,-20.407056240280134
324000,-7.987026844838322
324800,-11.622942798305308
325600,-22.371234138011104
326400,-16.918309863383435
327200,-14.294405019746412
328000,-13.346493421388278
328800,-13.404654091673132
329600,-8.834383147103631
330400,-5.49159700808841
331200,-11.150385358264696
332000,-13.379996177841013
332800,-9.554899146818613
333600,-14.411118015201104
334400,-6.650797710800806
335200,-22.814773138773702
336000,-14.607175760229715
336800,-19.5170512538959
337600,-10.195961325730266
338400,-8.511079332558385
339200,-9.471379156336424
340000,-13.955738842121093
340800,-12.311534603934893
341600,-10.811103258178104
342400,-10.178857267053806
343200,-10.191235721840162
344000,-8.394216139787263
344800,-5.43844881453015
345600,-6.8132498941244375
346400,-4.524823937044868
347200,-11.796942684544423
348000,-6.912862870527167
348800,-5.8116218047967125
349600,-12.253067164961273
350400,-10.734963073171455
351200,-8.560395542014067
352000,-11.67813199006254
352800,-5.909236597557191
353600,-8.99946494679631
354400,-9.972599859809808
355200,-2.2068409048200035
356000,-7.938479439724026
356800,-4.8529890601512555
357600,-7.236178524219321
358400,-6.469011230646004
359200,-6.464790196819394
360000,-4.785591480617529
360800,-9.440058081766896
361600,-7.553977035154599
362400,-5.568765334371338
363200,-8.985780869126366
364000,-7.895086177829629
364800,-4.841891914403278
365600,-7.58732815285122
366400,-2.5752799317818056
367200,-7.254918319490294
368000,-1.7282527025041463
368800,-7.916772229600374
369600,-9.435368835032738
370400,-9.774948774616702
371200,-5.200560486888767
372000,-6.178556215481504
372800,-5.633860133839237
373600,-5.141600803874909
374400,-11.610450849772983
375200,-8.094752001079552
376000,-6.197886181289725
376800,-6.480305685681798
377600,-3.8506681263462976
378400,-5.554635555785003
379200,-2.1564409281908117
380000,-9.708031637606416
380800,-2.682326833103899
381600,-11.85039501121944
382400,-4.246142422858407
383200,-8.79313579621303
384000,-2.6273647053905704
384800,-5.512188777356422
385600,-8.036490709151462
386400,-4.060753359944389
387200,-3.149487309947793
388000,-5.388888462945442
388800,-4.416733597086401
389600,-8.368426685946314
390400,-10.876394751358932
391200,-5.292463980787503
392000,-6.788970622811286
392800,-6.118287476646591
393600,-1.8840057559620345
394400,-3.0194846894505702
395200,-6.659429702213102
396000,-1.6298778189252452
396800,-4.789430189157556
397600,-2.2010744582624033
398400,-4.938853671225771
399200,-2.830262589725211
400000,-7.367767694520569
400800,-6.007550602240382
401600,-6.170871888342723
402400,-6.707160366328448
403200,-4.688480398979033
404000,-6.273274930982017
404800,-4.084695175830339
405600,-6.213449832429842
406400,-3.688216335856447
407200,-3.3988429268423936
408000,-2.592908334959542
408800,-4.4235867642294275
409600,-2.4220766806924914
410400,-4.708499596804557
411200,-7.4731021413710685
412000,-3.966545796033891
412800,-6.82535037323742
413600,-2.0988762897962534
414400,-9.036543250349213
415200,-3.8267107442757697
416000,-3.0471604658139104
416800,-3.447644224876783
417600,-9.28895234304037
418400,-5.400018872266677
419200,-2.576833669417843
420000,-5.6460503750866655
420800,-1.9312436980892358
421600,-5.412405637008512
422400,-7.357776950273124
423200,-3.023812451104309
424000,-1.2075776394468878
424800,-3.0957934594023975
425600,-5.050810443354126
426400,-5.605950190548118
427200,-5.0358905774261675
428000,-2.3344704350066694
428800,-6.516010246623867
429600,-6.819217541153343
430400,-1.6147070459495267
431200,-2.9474887374310526
432000,-5.611577031368057
432800,-2.135976431352338
433600,-2.47436900753098
434400,-6.277558936015313
435200,-2.4082974306864156
436000,-6.150138960675348
436800,-2.043392057873734
437600,-8.124879059386167
438400,-4.446034056534009
439200,-4.467054162433956
440000,-5.151043188836952
440800,-2.2691598433456828
441600,-2.5212910185203836
442400,-3.504807194485441
443200,-2.266301144441726
444000,-1.8988946189713556
444800,-2.756761436447533
445600,-6.235311498717117
446400,-3.3746558337367447
447200,-2.397825549276349
448000,-2.3311796244557215
448800,-7.2311271454214685
449600,-5.742447887421206
450400,-7.071197586949471
451200,-2.318355643494805
452000,-2.346036011401453
452800,-5.9707717564729865
453600,-5.85234692044252
454400,-5.683644811617253
455200,-1.7417401481613972
456000,-2.4328741501248503
456800,-5.747044428993022
457600,-1.6410043257398133
458400,-3.2793317445333234
459200,-5.3198481722543
460000,-2.430541646519901
460800,-2.5624219667065837
461600,-2.662613464955512
462400,-4.40725482423193
463200,-4.002966824398135
464000,-4.056188181262941
464800,-6.401262757557844
465600,-2.4062652345601947
466400,-5.022863058479935
467200,-2.1229927985867367
468000,-6.229685422755283
468800,-4.638593274125401
469600,-6.760364446686508
470400,-3.929579572625634
471200,-1.5498051894508196
472000,-5.367456205401378
472800,-5.048360340115768
473600,-1.867383082626236
474400,-2.22087642484126
475200,-2.2110663843858203
476000,-1.7261570579260357
476800,-5.915424348344945
477600,-1.9376666865828407
478400,-6.101345453538028
479200,-6.284396760945691
480000,-2.9855422061424677
480800,-2.165366411741554
481600,-4.8867173737401695
482400,-2.400739940435664
483200,-5.291727760430516
484000,-6.600574685668264
484800,-5.260197063394174
485600,-3.838799131977896
486400,-3.673557627056644
487200,-3.4920660644240735
488000,-1.4796254198247243
488800,-1.4348214640659884
489600,-4.425542763531085
490400,-3.887531759177574
491200,-1.3319217638503704
492000,-2.4421848322788065
492800,-2.3224606206350753
493600,-2.7305253518092267
494400,-2.326696081494413
495200,-2.836416236867789
496000,-1.190293945708075
496800,-4.6619001366634265
497600,-2.728672755138986
498400,-1.8794961509882055
499200,-5.661834477072598
500000,-1.404742011310497
500800,-1.6315103997406166
501600,-4.234141624486716
502400,-5.146755554449235
503200,-1.4010780792672286
504000,-6.977619334999432
504800,-1.5668169019423612
505600,-4.240827524313523
506400,-1.4525546342301892
507200,-3.038699630988603
