timestep,average_reward
800,-31.830379630039598
1600,-617.9110922901822
2400,-718.330226866326
3200,-1.7789428640466443
4000,-18.26573527782579
4800,-38.518408691807416
5600,-3.551423471135907
6400,-7.502996660790803
7200,-1.8819603765730875
8000,-1.9809533867314837
8800,-1.9447422277797546
9600,-1.7915482102958271
10400,-2.6560692887082036
11200,-2.1597614302930688
12000,-5.798352499696278
12800,-2.070431579973512
13600,-2.0818736310031682
14400,-2.059074633090563
15200,-2.000595150174845
16000,-3.1883357787748814
16800,-2.063544809764281
17600,-6.134879670432744
18400,-1.9434213108865668
19200,-3.511340734025637
20000,-1.722364287585224
20800,-1.8858250173584152
21600,-1.4065354521485596
22400,-1.8260129348816638
23200,-1.4277843418970633
24000,-5.96367590213529
24800,-2.591682891482335
25600,-1.521583391437613
26400,-1.3953130142621553
27200,-1.9140244177279206
28000,-1.260635668808386
28800,-1.6805017805848683
29600,-1.675754359747616
30400,-1.811773934913694
31200,-2.583276216275883
32000,-5.249919995821605
32800,-5.768294704863762
33600,-1.602805848535019
34400,-1.4331480709950895
35200,-1.3354463719559302
36000,-2.182173997620516
36800,-1.3108438630066899
37600,-1.7353545949477538
38400,-6.141055602175836
39200,-6.09969969938181
40000,-1.1190822747976623
40800,-1.3332922656015627
41600,-5.986340453192189
42400,-1.1619124639153626
43200,-1.808771570305822
44000,-1.170458513038145
44800,-6.64773141455677
45600,-1.7761727615982346
46400,-1.353930951945795
47200,-1.8157602406116617
48000,-2.3717210389028973
48800,-5.634629690087706
49600,-4.0562048563732995
50400,-2.0979029998096435
51200,-7.161663529402205
52000,-2.369304390359493
52800,-5.179101899818453
53600,-5.799993069413184
54400,-5.053260726455315
55200,-2.0511363575725663
56000,-1.8238984366962767
56800,-2.107276957817063
57600,-2.2610548258819345
58400,-4.740512936603625
59200,-6.254182330212235
60000,-2.5580303466448457
60800,-1.53159577702646
61600,-5.349372212745993
62400,-4.897892872092109
63200,-1.2279759777799009
64000,-1.5717882425994498
64800,-1.4316734008116225
65600,-1.8911081984947313
66400,-1.6066272496111973
67200,-1.8931286532076301
68000,-4.351294671497794
68800,-2.6473851536006423
69600,-1.1484454260073835
70400,-5.824145531266124
71200,-1.32474176069892
72000,-1.6786293314874146
72800,-2.673105195647998
73600,-2.06253820285499
74400,-5.581469154840281
75200,-1.7496524420433104
76000,-3.520686631293356
76800,-1.1961684097479128
77600,-1.2132636673973667
78400,-1.160680667511849
79200,-1.2472820743868658
80000,-1.4323773140088676
80800,-1.5990925010757053
81600,-2.242029906964758
82400,-6.429764773114648
83200,-2.3853351831961467
84000,-1.6510535908225803
84800,-2.551880889937814
85600,-5.249730149486466
86400,-5.561781996525805
87200,-1.5514964640059135
88000,-6.328524387912556
88800,-1.5308196430240786
89600,-1.5080495410509536
90400,-1.860827287910717
91200,-1.470973203852122
92000,-4.461956479020294
92800,-1.4561982650445975
93600,-1.287640385130597
94400,-1.2345760671420474
95200,-1.5533141558363834
96000,-6.318333195589349
96800,-2.2585394239125964
97600,-1.7381075578900151
98400,-1.8929171629053245
99200,-1.369558380000619
100000,-1.162522475259875
