timestep,average_reward
3200,-766.1143323985129
6400,-317.14510751769353
9600,-14.79784519489906
12800,-4.350443516184166
16000,-2.86026807203246
19200,-2.3316918072386703
22400,-1.6491568395270435
25600,-1.752783175517716
28800,-2.2037810880823856
32000,-1.580301372631775
35200,-1.400762237090094
38400,-1.384842881827956
41600,-1.5042966883501765
44800,-1.4083370895014575
48000,-1.9486605062302507
51200,-1.4812562200224644
54400,-2.1616905101051724
57600,-2.171688099905813
60800,-1.6530492616647052
64000,-1.6871959052591625
67200,-2.0761305056922215
70400,-2.0627826520240213
73600,-1.6824040987667497
76800,-2.1698692091041654
80000,-2.0464800179307012
83200,-1.6605579212123656
86400,-1.7928458872172632
89600,-1.5617933926644794
92800,-2.2499212191178395
96000,-2.199078696093715
99200,-1.8437323296678756
