timestep,average_reward
400,-82.65097076176887
800,-113.39592629354104
1200,-83.42096767546664
1600,-234.4195466775197
2000,-91.91912729611178
2400,-64.18087096496191
2800,-128.51650539844914
3200,-76.69950856028974
3600,-83.41566803832093
4000,-36.53809028871554
4400,-65.60599937403447
4800,-58.071816746539696
5200,-20.44294979644941
5600,-19.62156448213399
6000,-11.019444745045492
6400,-20.15577440701942
6800,-7.91459516621319
7200,-12.216858987913492
7600,-5.204179280141202
8000,-4.056173611131111
8400,-9.395151422370953
8800,-7.018617468365371
9200,-2.9293839076291732
9600,-9.995142724197418
10000,-1.6994415129235565
10400,-1.9997478491057696
10800,-4.291070763808263
11200,-2.1873212430602025
11600,-1.913634051030109
12000,-12.01526286915633
12400,-3.825026736375271
12800,-6.01509879256704
13200,-9.198768760837394
13600,-1.7869208849870364
14000,-3.678932673639996
14400,-1.9278996364582346
14800,-8.660227954053923
15200,-5.128885827446315
15600,-2.100371370308231
16000,-1.6464658669496166
16400,-1.8050659431779055
16800,-1.730736568550995
17200,-1.583839712555549
17600,-9.966780879227487
18000,-4.7142636682626575
18400,-5.650416593496278
18800,-1.641579810058213
19200,-9.931761250322554
19600,-1.3261455943252145
20000,-9.1294375655994
20400,-1.3427635418784056
20800,-1.5275382994311264
21200,-1.328578630259494
21600,-12.929945995822429
22000,-4.614999908210895
22400,-1.7869048087412889
22800,-8.439397064072704
23200,-10.763961530764592
23600,-8.017531741029453
24000,-10.813086301723223
24400,-4.7282756714571414
24800,-1.3695923644076613
25200,-3.642283445416946
25600,-2.7571025401749547
26000,-1.4510203058928894
26400,-1.5559617730782436
26800,-3.5507169369897102
27200,-1.5066476305332765
27600,-3.519615279003568
28000,-4.328871712758567
28400,-5.375924411905406
28800,-1.681069040841497
29200,-7.43435505680274
29600,-3.3119543748486624
30000,-1.3236681255948528
30400,-6.8750478364920475
30800,-6.377490596728251
31200,-1.5382421567469586
31600,-6.0308232086801015
32000,-1.4068412297680237
32400,-9.618829797259128
32800,-1.194131638334205
33200,-1.414844091768705
33600,-1.2480551027155777
34000,-1.4360242023702494
34400,-8.291304390100924
