avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,buffer_size,total_timesteps,timestamp,
-8.73443569,2.567084732,3.342659491,-0.001711383,51.46145436,88.75,96.54,0.69632871,50,0.0003,512,2000000,100000,234320,
-8.999795539,2.676385987,3.47277192,-0.002356804,50.26946681,83.58333333,97.39,0.688214375,400,0.0003,256,2000000,100000,12110,
-6.830023175,2.701628614,3.511451953,-0.003186578,31.48353163,83.16666667,471.67,0.69751709,100,0.0003,512,500000,500000,2829,
-18.179695,2.68146509,3.44075896,-0.008369114,143.9529862,75.91666667,93.74,0.652972734,50,0.0003,512,500000,100000,232134,
-13.43871955,2.676828764,3.477336842,-0.004200679,92.97110026,75.83333333,96.54,0.688366803,100,0.0003,512,1000000,100000,3700,
-8.45330174,2.735505539,3.526914042,-0.005484968,44.72425151,75.25,475.1,0.694802335,50,0.0003,512,1000000,500000,233444,
-7.891471958,2.706206133,3.482467667,0.00022129,39.95314917,75,477.04,0.72442238,400,0.0003,256,1000000,500000,11233,
-7.778990954,2.681615956,3.458139202,-0.003483198,40.03171423,74.16666667,480.33,0.690913677,400,0.0003,512,2000000,500000,15615,
-10.24856375,2.691807383,3.462804655,-0.003796327,64.8398147,73.66666667,99.04,0.667277929,50,0.0003,256,500000,100000,224755,
-7.185082249,2.731526217,3.569656443,-0.002213283,30.02893278,73.33333333,95.85,0.678220222,100,0.0003,512,2000000,100000,4753,
-7.716259113,2.679712392,3.442303437,-0.001758536,38.65383562,73.33333333,482.31,0.678509277,400,0.0003,512,1000000,500000,14516,
-11.5265513,2.583855582,3.395975267,-0.003650272,75.77519395,72.75,106.86,0.698952196,50,0.0003,256,2000000,100000,231021,
-7.43610391,2.840172827,3.63769824,0.00798616,34.66665592,72.33333333,491.32,0.703210437,50,0.0003,256,1000000,500000,230128,
-7.978543003,2.639329205,3.420797397,-0.002216169,41.81027037,71.16666667,478.38,0.69465586,400,0.0003,256,500000,500000,10139,
-10.602875,2.692389226,3.485684311,0.001038164,66.76580715,71,467.29,0.683572803,100,0.0003,256,500000,500000,235628,
-7.935692238,2.750357908,3.52959423,-0.001573827,41.44656708,70.41666667,479.19,0.686687127,50,0.0003,512,2000000,500000,234536,
-8.288870241,2.706754743,3.517315953,-0.00172026,41.71529108,69.58333333,96.2,0.682623948,400,0.0003,256,500000,100000,5923,
-8.209703547,2.788002673,3.627666085,0.001265639,37.27140738,69.16666667,92.88,0.686783476,100,0.0003,256,1000000,100000,456,
-14.0544532,2.949552831,3.812846817,-0.005042367,89.20360194,68.66666667,94.04,0.661766788,100,0.0003,512,500000,100000,2615,
-7.878486389,2.852035355,3.65314512,0.001092494,36.50993276,68.5,465.02,0.695070724,100,0.0003,256,2000000,500000,1750,
-6.564484661,2.753959045,3.523189839,-0.002811333,26.09700945,68.41666667,97.74,0.674787977,400,0.0003,512,1000000,100000,14259,
-10.42310322,2.896308732,3.685363318,-0.011984045,61.30807633,67.33333333,482.25,0.702824487,50,0.0003,256,2000000,500000,231250,
-7.209276663,2.75543571,3.526346353,-8.63E-05,32.62451857,66.83333333,478.03,0.699364238,50,0.0003,512,500000,500000,232348,
-7.759829835,2.749691208,3.510225872,0.000734677,35.93229166,66.41666667,475.94,0.680013333,400,0.0003,256,2000000,500000,12327,
-8.705308254,2.750251695,3.602025441,-0.001992096,41.46495514,65.75,98.66,0.684908001,50,0.0003,256,1000000,100000,225908,
-7.817812488,2.559566666,3.373970519,0.002448746,37.09638227,65.5,93.22,0.720981712,100,0.0003,256,500000,100000,235415,
-7.882631811,2.807095443,3.596627812,0.000482557,38.36211709,65.5,514.13,0.674668586,100,0.0003,512,2000000,500000,5009,
-13.0039677,2.581124103,3.384101269,0.001229908,88.90324972,65.41666667,92.91,0.691391274,100,0.0003,256,2000000,100000,1536,
-7.49762262,2.709285443,3.516649812,0.000209826,31.40646074,64.66666667,95.85,0.687715295,400,0.0003,256,1000000,100000,11017,
-9.301476435,2.770383362,3.498181954,-0.002464483,49.33835838,63.5,478.63,0.655039099,400,0.0003,512,500000,500000,13419,
-8.807199986,2.754184094,3.639236506,0.001629935,37.12590007,61.33333333,95.69,0.697639625,400,0.0003,512,500000,100000,13203,
-8.383319472,2.836883731,3.613753903,-0.001425422,32.85365032,58.33333333,476.14,0.686694722,100,0.0003,512,1000000,500000,3917,
-9.581646339,2.831998843,3.569151386,-0.005878946,49.99218312,57.91666667,95.49,0.630193726,50,0.0003,512,1000000,100000,233227,
-8.64185592,2.95542701,3.729125591,-0.007233997,39.70970129,57,491.79,0.689584345,50,0.0003,256,500000,500000,225016,
-13.8580978,3.050416784,3.962164539,0.002500572,69.54685838,52.5,95.51,0.685972522,400,0.0003,512,2000000,100000,15359,
-11.44809836,3.193390075,4.014762941,-0.003199559,52.87783369,48.58333333,465.98,0.628783297,100,0.0003,256,1000000,500000,709,
