timestep,average_reward
400,-150.05913393110868
800,-259.3727823799108
1200,-238.16670780824953
1600,-101.72713188346013
2000,-62.27954215169594
2400,-115.59532558445352
2800,-76.55679284345807
3200,-108.95068916444065
3600,-81.49820746006118
4000,-51.13266537764546
4400,-48.244265653211386
4800,-41.91015329608723
5200,-17.33275282107503
5600,-17.309264019186948
6000,-18.63405028914073
6400,-8.148832672088602
6800,-6.644712566505741
7200,-6.842277718987486
7600,-2.029637640460064
8000,-3.2109971731912332
8400,-11.665711925067761
8800,-6.64396019286071
9200,-9.67121475820145
9600,-7.724772032760281
10000,-3.7319451395438588
10400,-7.038421359479718
10800,-1.9756700943196628
11200,-2.2163511309717796
11600,-1.9611212829817324
12000,-5.307382543440971
12400,-8.360703618610096
12800,-1.9522092892942116
13200,-1.7092428550097805
13600,-1.5474512258869704
14000,-4.432401774718503
14400,-3.1530959370190192
14800,-1.6837004094275008
15200,-6.095957099701523
15600,-1.7224358450316513
16000,-1.5308555820110188
16400,-4.583561017042138
16800,-1.6791248689477032
17200,-1.3953044732822741
17600,-1.7739114189336076
18000,-4.818317352789416
18400,-8.706633088508053
18800,-8.855223054974841
19200,-4.3797352954242506
19600,-4.760633139789029
20000,-1.9226291710863106
20400,-7.742073329438925
20800,-1.568626902359341
21200,-1.7428988134264105
21600,-1.4841687910061225
22000,-12.227343199955856
22400,-1.7274559795470774
22800,-3.5011021102655393
23200,-4.345614250429928
23600,-2.572140680745379
24000,-8.452960046059173
24400,-2.070704950180193
24800,-2.402218454436897
25200,-1.636657587704523
25600,-6.715513543418906
26000,-1.87668105469582
26400,-1.6742132351334
26800,-9.843022925096735
27200,-1.7291818410665636
27600,-8.706651651162069
28000,-1.5375129153772606
28400,-1.5555464507220504
28800,-1.6252378070076776
29200,-2.935361900131325
29600,-5.524995083209448
30000,-1.6126201886936073
30400,-9.53617142713412
30800,-1.9094218638510894
31200,-9.427237238967269
31600,-1.2167988849366398
32000,-10.113944125474573
32400,-8.169200471118181
32800,-7.767393818213174
33200,-1.4808806298383004
33600,-1.6130747480700505
34000,-8.694216491051279
34400,-1.4645088062855707
34800,-7.484603177007383
35200,-1.6875841299703132
35600,-6.676809695514177
36000,-1.4879952868434676
36400,-1.5806454694104202
36800,-5.962732763003264
37200,-3.1546594830289134
37600,-5.595853755292496
38000,-8.560761227247957
38400,-8.831075558751126
38800,-6.526205013558378
39200,-1.6492386507686396
39600,-1.5005988897654998
40000,-1.5875160007420113
40400,-1.5483043706973398
40800,-1.511941277132278
41200,-1.4831486397776765
41600,-3.8471766615754888
42000,-1.5866013538018044
42400,-9.170800080156324
42800,-1.730976185242826
43200,-4.546006429410973
43600,-1.6375136326594575
44000,-3.5149812024625264
44400,-4.8760955856787564
44800,-1.1640824368145994
45200,-2.0616738056309325
45600,-1.2649197529905534
46000,-1.5098174281374184
46400,-1.3695908316722858
46800,-1.3506822428540541
47200,-1.9804863229956815
47600,-11.403641878858242
48000,-4.534899562932208
48400,-6.885702133618075
48800,-12.213184916018003
49200,-1.5295358928184402
49600,-1.3404526741083007
50000,-1.5011839686493025
50400,-1.3909092627527002
50800,-1.5025649353903574
51200,-4.8619385339703864
51600,-1.2513063435083123
52000,-1.7708221144164298
52400,-6.246555316532561
52800,-1.219077690020745
53200,-5.039692282861491
53600,-12.814884345524455
54000,-7.558646182913114
54400,-3.15204689743018
54800,-9.793645730580106
55200,-6.971676639652457
55600,-10.060503016249008
56000,-1.624035670684554
56400,-12.944827283088259
56800,-1.8193257434794752
57200,-1.8838898878808568
57600,-4.382253724623337
58000,-1.916879066036517
58400,-1.3274656973606391
58800,-8.795977154753514
59200,-1.7042128632733577
59600,-1.5255752123402766
60000,-3.5013702577263888
60400,-2.3403117822136448
60800,-1.3848971611613956
61200,-1.443269242486282
61600,-7.485680589226198
62000,-2.4272800611770635
62400,-1.5596916515962127
62800,-1.8418370274689388
63200,-10.536141038465166
63600,-1.1654763320350938
64000,-1.9741659553902065
64400,-1.6149996392311408
64800,-1.217546944756219
65200,-1.70563127917751
65600,-1.3265042159139557
66000,-1.1411443983128255
66400,-1.2099164523757564
66800,-1.194963479772087
67200,-7.293169064883411
67600,-1.8047021936285264
68000,-1.7971997537671924
68400,-3.3248788284635666
68800,-3.612449567279251
