timestep,average_reward
400,-144.8426802943795
800,-41.64726903001424
1200,-133.17246006631314
1600,-350.54430213778255
2000,-310.0574161436565
2400,-301.8663985864151
2800,-202.28864519136866
3200,-257.23955682428254
3600,-28.956381269124414
4000,-40.554111105694844
4400,-37.5711395737609
4800,-33.22607356157513
5200,-17.200055775536747
5600,-21.546969726584777
6000,-8.098820898247599
6400,-7.307986905691494
6800,-1.5994338206192331
7200,-13.422891520354586
7600,-15.775124407032871
8000,-9.000812024436827
8400,-5.781811315868904
8800,-2.208692624479806
9200,-8.078523228473816
9600,-8.946086175390313
10000,-7.722045253362843
10400,-11.36584279345377
10800,-2.116804091361362
11200,-9.814066864051258
11600,-7.685927467140629
12000,-1.8579201959010292
12400,-8.125140434339208
12800,-3.570547528449052
13200,-10.775250723481534
13600,-2.2052154839082605
14000,-7.105030232477535
14400,-1.983779163056988
14800,-8.86346691768696
15200,-1.7823968435844209
15600,-3.582479060393218
16000,-3.773780083406196
16400,-10.094872865862731
16800,-1.883959012468089
17200,-12.115312854111783
17600,-2.2036852057986285
18000,-12.254978351820156
18400,-6.995883698215237
18800,-2.1012654461509026
19200,-4.133511203249561
19600,-4.022698613442129
20000,-2.2008988353753747
20400,-4.663585723599103
20800,-6.832603673271495
21200,-4.291370899229636
21600,-14.397641022232236
22000,-9.828724513544442
22400,-4.940481398332249
22800,-2.112703438656591
23200,-1.7077194245208471
23600,-7.6272460510096485
24000,-8.042534538155072
24400,-8.394608002496314
24800,-2.166398087799465
25200,-1.8589037031297782
25600,-2.956695659137953
26000,-1.8397134908623403
26400,-1.693236944639216
26800,-5.999618908230268
27200,-2.123618910900629
27600,-2.1776308011052175
28000,-1.5889922154832512
28400,-2.2953906560943893
28800,-1.937594940770464
29200,-1.9101702798567448
29600,-1.6758987531549376
30000,-3.9801904960065873
30400,-1.4855324684433853
30800,-1.638563551733397
31200,-4.651384307396097
31600,-13.63367105109304
32000,-3.834349873199126
32400,-3.506123346547746
32800,-3.7067966748835954
33200,-11.309862991039902
33600,-9.752465082746417
34000,-2.083025923367523
34400,-7.0412350952644225
34800,-1.8889600816162513
35200,-4.839109881804015
35600,-10.793204876481608
36000,-1.854247959995237
36400,-5.23181210328257
36800,-9.067419890908258
37200,-5.008835016033764
37600,-1.4317732704757729
38000,-4.257443913049077
38400,-1.4030688512426466
38800,-8.339998264459517
39200,-2.228573740141857
39600,-5.442924978480029
40000,-1.5251185651548502
