avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,gamma,tau,total_timesteps,timestamp
-88.09157954,2.371809608,3.071393914,-0.016658988,691.3273238,0.75,47.19,0.681172619,400,0.0003,256,0.99,0.01,100000,165711
-53.60932349,2.432883739,3.136457866,-0.016510706,482.2551693,53.41666667,47.9,0.697084537,400,0.0003,256,0.99,0.005,100000,170427
-83.70550687,2.437909943,3.152392148,-0.010476716,798.2792517,78,47.09,0.698555544,400,0.0003,256,0.95,0.005,100000,165121
-82.66685453,2.451818485,3.154779263,-0.016665654,699.1712905,19.08333333,48.16,0.661311364,400,0.0003,512,0.95,0.01,100000,171905
-78.41054364,2.425842277,3.182256412,-0.016665344,748.274489,88.25,48.94,0.712618637,50,0.0003,256,0.95,0.002,100000,153913
-57.81589123,2.481328672,3.202420472,-0.016474985,534.251327,65.41666667,47.79,0.678145842,400,0.0003,512,0.99,0.002,100000,172033
-63.83289118,2.512023334,3.218482138,-0.016647773,557.5823583,43.16666667,48.14,0.659483284,400,0.0003,512,0.95,0.002,100000,170722
-34.07735895,2.439608892,3.231070711,-0.009846652,306.0471667,89,47.41,0.71928898,400,0.0003,256,0.99,0.002,100000,170300
-20.21193637,2.491146096,3.240618117,-0.004491838,160.3276605,65.25,47.71,0.696677977,100,0.0003,256,0.99,0.01,100000,163047
-10.9106959,2.491681932,3.254239423,0.001807874,73.10364967,88.33333333,48.14,0.71117412,400,0.0003,512,0.95,0.01,100000,171018
-8.635813105,2.503582451,3.258084695,0.001441648,49.61772157,86.83333333,47.93,0.705649989,400,0.0003,512,0.95,0.005,100000,170850
-27.19566923,2.574417156,3.284068325,-0.002396874,218.9413486,57.66666667,48.3,0.693165872,100,0.0003,512,0.99,0.01,100000,163935
-7.299645106,2.534593732,3.286445181,-0.000686751,36.45187569,81.41666667,48.02,0.692904702,100,0.0003,512,0.99,0.005,100000,164657
-22.40768612,2.583909794,3.286497433,-0.003073379,140.4572838,42.16666667,48.69,0.655373155,50,0.0003,512,0.95,0.005,100000,160718
-13.13197549,2.597224398,3.299617356,-0.001659169,54.6487492,44.75,47.36,0.670198701,100,0.0003,256,0.95,0.01,100000,162624
-7.609490465,2.544161386,3.31339167,0.002426845,39.79587039,77.83333333,47.69,0.70175308,400,0.0003,256,0.99,0.01,100000,170555
-11.55522099,2.577631638,3.320718066,-0.001653255,77.40824791,79.5,47.38,0.681652343,400,0.0003,256,0.95,0.01,100000,165248
-8.547289043,2.551926572,3.343360972,0.001548856,48.56431516,73.83333333,47.45,0.710072144,400,0.0003,256,0.95,0.005,100000,170005
-11.43679782,2.642633039,3.347087361,-0.001976879,42.1422697,47.33333333,48.27,0.663764907,50,0.0003,256,0.95,0.005,100000,154934
-204.6197485,2.605522074,3.347789703,-0.016666665,793.0259139,0.75,47.99,0.712668829,400,0.0003,512,0.99,0.005,100000,172201
-8.004248252,2.551732228,3.36636335,0.000415486,44.31553543,85.08333333,47.02,0.702700352,400,0.0003,256,0.95,0.002,100000,165838
-53.70903839,2.663721381,3.367991872,-0.006855889,155.4099127,0.75,47.95,0.599652805,100,0.0003,256,0.99,0.01,100000,162201
-11.79662841,2.58714238,3.368422517,-0.003053361,79.2108349,69.66666667,47.38,0.695802375,400,0.0003,256,0.99,0.005,100000,165543
-7.54595357,2.631049902,3.375929542,-0.001901844,24.80383255,59.16666667,48.11,0.675110987,100,0.0003,256,0.99,0.005,100000,162919
-7.559978705,2.634147456,3.380751232,0.000909205,27.73130948,62.25,47.5,0.694054579,50,0.0003,256,0.95,0.01,100000,154212
-67.67573348,2.69002411,3.386073839,0.015366574,561.8972433,32,47.54,0.651254244,400,0.0003,256,0.99,0.002,100000,165415
-9.84503141,2.603624924,3.409646635,-0.003012011,63.15703646,84.16666667,48.85,0.688243802,50,0.0003,512,0.95,0.002,100000,155656
-9.010208081,2.689909672,3.414275184,-0.000665866,43.22158454,63.75,48.02,0.650664717,100,0.0003,512,0.95,0.005,100000,164232
-8.631188789,2.635880731,3.421368086,-0.003093271,46.43454265,69.08333333,48.31,0.677390168,400,0.0003,512,0.95,0.002,100000,171609
-84.53078116,2.689558785,3.423472672,0.016666659,781.6439615,51,47.5,0.688093445,400,0.0003,256,0.95,0.002,100000,164953
-9.573298981,2.669357945,3.425178396,-0.000684045,58.69289844,77.25,47.36,0.684374449,100,0.0003,256,0.99,0.002,100000,162751
-6.482437695,2.664580216,3.440749113,-0.001967599,26.98180957,75.5,48.91,0.668908461,100,0.0003,512,0.99,0.002,100000,164528
-7.680281211,2.66916446,3.45359263,-0.001650962,40.53688412,79.33333333,49.39,0.691353205,50,0.0003,512,0.99,0.002,100000,160122
-20.06625928,2.764818662,3.453932295,6.98E-05,87.82945298,35.25,48.5,0.620663691,50,0.0003,512,0.99,0.005,100000,161144
-25.19334623,2.768102735,3.458502588,-0.00390116,80.1092322,12.58333333,48.1,0.586511431,50,0.0003,512,0.99,0.005,100000,160252
-10.13854441,2.6687557,3.463309535,-0.001710165,59.97642624,64.16666667,48.02,0.691502042,400,0.0003,512,0.99,0.002,100000,171146
-11.91327422,2.752890292,3.466186228,-0.002559464,52.04076074,51.25,47.61,0.65426373,100,0.0003,256,0.99,0.005,100000,162033
-7.393237721,2.686211668,3.476017487,-0.001494291,37.78673199,79.08333333,47.81,0.688647584,50,0.0003,512,0.99,0.002,100000,161016
-10.26911315,2.674219568,3.488852394,-0.003941856,63.27368251,70.16666667,47.51,0.679485121,100,0.0003,256,0.95,0.005,100000,162456
-7.916106451,2.683499143,3.492526209,0.002227497,38.40877763,69.58333333,48.22,0.705566873,100,0.0003,512,0.95,0.002,100000,163214
-9.055824676,2.737503716,3.506155422,-0.00025504,52.47946849,66.5,48.64,0.674334128,100,0.0003,512,0.95,0.01,100000,164400
-122.4263204,2.59952806,3.507362637,-0.016666415,516.1577671,0.75,47.64,0.577236884,400,0.0003,256,0.95,0.01,100000,170133
-20.9660558,2.811188707,3.508039786,-0.005070666,84.89552014,33.16666667,47.52,0.588125584,100,0.0003,256,0.95,0.005,100000,161610
-15.13841789,2.81579201,3.51089967,-0.001185932,14.83673347,29.33333333,48.77,0.591696133,50,0.0003,256,0.95,0.005,100000,154042
-123.5246537,2.848357345,3.530531278,-0.016642837,882.9772487,0.75,48.74,0.545782438,50,0.0003,512,0.95,0.005,100000,155825
-8.493446692,2.785639861,3.555263064,-0.00555315,42.39524532,67.25,48.34,0.658084542,400,0.0003,512,0.95,0.005,100000,171737
-12.48021663,2.719289885,3.572174475,-0.002395926,84.92636511,83.08333333,47.45,0.696384614,100,0.0003,256,0.95,0.002,100000,162329
-53.00247289,2.898265691,3.601266079,0.004975247,367.6108258,22.91666667,48.19,0.58753416,400,0.0003,512,0.99,0.01,100000,171441
-26.16927459,2.838926918,3.621195006,-0.000454229,217.6133043,60.08333333,47.91,0.691960567,100,0.0003,256,0.95,0.01,100000,161738
-8.336356977,2.893386848,3.633791879,-0.002178739,36.77596598,50.75,48.15,0.627771175,100,0.0003,512,0.95,0.005,100000,163343
-26.9524793,2.992052069,3.672894029,-0.004708702,101.1040991,21.91666667,48.02,0.522023887,100,0.0003,512,0.95,0.01,100000,163510
-19.1968778,3.007568897,3.693840366,-0.003442731,19.01399218,21.5,48.84,0.522886824,50,0.0003,512,0.95,0.01,100000,155953
-101.8250907,3.391814605,4.068706832,-0.016586268,671.6034958,0.75,48.2,0.360489361,100,0.0003,512,0.99,0.005,100000,163807
-264.8635338,3.45229629,4.270558224,-0.003957368,846.1379525,0.75,47.69,0.675609301,50,0.0003,256,0.99,0.005,100000,154510
-245.165877,3.688644837,4.438278613,-0.016666632,1274.842194,0.75,48.43,0.156510738,50,0.0003,512,0.95,0.01,100000,160848
-338.9161977,3.881843251,4.787919836,-0.016660233,1186.112135,0.75,48.75,0.383024415,50,0.0003,256,0.99,0.005,100000,155359
-223.3731181,4.33105155,5.150717514,-0.016599846,694.0405226,0.75,47.85,-0.141996325,50,0.0003,256,0.99,0.01,100000,155527
-239.6862225,4.451759443,5.267490459,-0.016597216,855.7861184,0.75,48.11,-0.198884143,50,0.0003,256,0.99,0.01,100000,154637
-222.3495027,4.711765283,5.522653388,-0.014158289,960.7805347,0.75,48.13,-0.308865028,400,0.0003,512,0.99,0.01,100000,172329
-443.513071,5.158153375,6.450821239,-0.016616258,1440.678289,0.75,47.72,-0.233988088,50,0.0003,256,0.95,0.01,100000,155103
-468.4542471,5.441679549,6.612706312,-0.015768221,1049.757531,0.75,49.04,0.07898412,50,0.0003,512,0.99,0.01,100000,160420
-621.7648619,10.13879663,10.96928239,-0.016666667,0.333055556,0.75,48.13,,100,0.0003,512,0.99,0.01,100000,164825
-621.7648619,10.13879663,10.96928239,-0.016666667,0.333055556,0.75,48.21,,100,0.0003,512,0.95,0.002,100000,164104
-621.7648619,10.13879663,10.96928239,-0.016666667,0.333055556,0.75,48.31,,50,0.0003,512,0.99,0.01,100000,161313
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,48.26,-0.123215451,100,0.0003,512,0.99,0.002,100000,163639
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,47.89,-0.123215451,400,0.0003,512,0.99,0.005,100000,171313
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,49.04,-0.123215451,50,0.0003,512,0.95,0.002,100000,160550
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,48.56,-0.123215451,50,0.0003,256,0.99,0.002,100000,155230
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,47.38,-0.123215451,100,0.0003,256,0.99,0.002,100000,161906
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,47.76,-0.123215451,50,0.0003,256,0.95,0.002,100000,154806
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,47.64,-0.123215451,100,0.0003,256,0.95,0.002,100000,161442
-4232.910516,110.6913733,130.3108316,0.016666667,0.333055556,2.166666667,48.48,-0.123215451,50,0.0003,256,0.99,0.002,100000,154341
