timestep,average_reward
800,-54.557442972747886
1600,-279.0601912793648
2400,-580.488442314308
3200,-582.5059764252609
4000,-268.0070666017758
4800,-281.9516213990607
5600,-716.5938476190491
6400,-617.5024065052709
7200,-475.37790332420053
8000,-479.55950529264163
8800,-617.4807414633549
9600,-723.9130235354661
10400,-574.8882426288831
11200,-476.93296778977253
12000,-475.19821873851674
12800,-621.8379568050706
13600,-527.5121832838785
14400,-723.1783304956308
15200,-377.32504736310847
16000,-263.7476667923448
16800,-531.1614747517502
17600,-529.7271482859832
18400,-727.6312327917735
19200,-475.52824195704073
20000,-282.93145445221774
20800,-263.19776171110743
21600,-262.25373594364225
22400,-473.9759387863707
23200,-375.3686884808254
24000,-615.0817363847098
24800,-622.6207140115412
25600,-278.47462174900204
26400,-717.820019733545
27200,-271.2975931584899
28000,-375.03046271064954
28800,-268.9987988708294
29600,-618.9274805154189
30400,-727.1990080084677
31200,-649.3752387811363
32000,-482.06630898809607
32800,-582.5186862692661
33600,-577.4538820236847
34400,-620.1475905055427
35200,-652.236338600453
36000,-267.72906637021975
36800,-613.789677711539
37600,-726.7224577490497
38400,-277.9742956384258
39200,-718.6198168390948
40000,-723.3595529332741
40800,-662.1210505669485
41600,-576.7568729351175
42400,-574.1695240859265
43200,-718.7990268355638
44000,-534.6068582496782
44800,-576.4392161242926
45600,-654.8134460397553
46400,-268.40314998588246
47200,-722.9683011036709
48000,-284.50267329880955
48800,-726.6753692499967
49600,-726.6894312637701
50400,-269.8266113750017
51200,-266.74727759406386
52000,-618.8441029411978
52800,-573.5854910547519
53600,-479.6720835210035
54400,-656.9389979505742
55200,-271.0208894647349
56000,-372.7561432935997
56800,-654.3490701526852
57600,-266.1070029803109
58400,-721.7168432989862
59200,-573.1204466431875
60000,-526.6918273800696
60800,-29.810634268143275
61600,-6.263178193151269
62400,-4.532469684355238
63200,-4.22965045390721
64000,-2.7401300565794213
64800,-5.4781461121148505
65600,-3.415122633194904
66400,-5.978349747108771
67200,-2.2067093365440145
68000,-5.6825355250428675
68800,-3.240311659527716
69600,-3.466695149483253
70400,-5.1375518544687955
71200,-6.331972158356616
72000,-10.63334096278398
72800,-10.886483422216015
73600,-9.968790921952829
74400,-2.270823805931196
75200,-4.4276054192961585
76000,-3.168831378524448
76800,-2.9359574243518494
77600,-3.0474019564292854
78400,-2.513107274052054
79200,-2.140185129120184
80000,-2.2249560439483416
80800,-2.9155546238524734
81600,-3.3133218087103544
82400,-2.0297926737598155
83200,-2.33182556241953
84000,-1.5163020415813449
84800,-5.554450919016316
85600,-1.6739737172928186
86400,-1.9230077346127619
87200,-5.86695324107703
88000,-2.683460031618414
88800,-1.538629179636605
89600,-1.4478483672402591
90400,-8.214203554818125
91200,-1.2886799717051267
92000,-1.7441487187793303
92800,-2.168370459711717
93600,-5.643916497404339
94400,-1.4836035521362823
95200,-1.3387969626164393
96000,-4.438451367755047
96800,-6.658948301371389
97600,-1.3348207867517163
98400,-2.604656389548865
99200,-1.1230740626491054
100000,-1.4587105834126128
