timestep,average_reward
800,-114.63898376596231
1600,-270.6923967090898
2400,-287.6995264145643
3200,-6.91682927881905
4000,-2591.5475872875145
4800,-3.9815566645891947
5600,-2.3518367776999187
6400,-3.2347480950995595
7200,-5.1462170752057546
8000,-2.1715897007855327
8800,-2.1995471792789227
9600,-9.037579686905643
10400,-6.6733454699010535
11200,-2.273634822285309
12000,-3.54903587194832
12800,-2.242966931138945
13600,-2.1095398419666678
14400,-5.593234623698818
15200,-2.036524252200531
16000,-2.230666901710259
16800,-8.903945429648685
17600,-6.282597843714083
18400,-3.4941629595043
19200,-2.2062484327173935
20000,-3.5926066199244797
20800,-9.558449183371
21600,-11.791815335476187
22400,-7.801340992286715
23200,-7.559383326588984
24000,-14.61870535782355
24800,-9.992301600792137
25600,-13.484090299664961
26400,-16.708346487376353
27200,-8.85650746947372
28000,-18.334173604585892
28800,-12.905083471496408
29600,-4.347099682028558
30400,-4.143373643556471
31200,-2.3162254537268487
32000,-22.35506599239345
32800,-20.094567427985375
33600,-5.822624676159595
34400,-5.184017436342288
35200,-17.646759593916805
36000,-24.286548446350583
36800,-21.886252357539597
37600,-14.632739926163703
38400,-15.690258685208978
39200,-2.112336701704362
40000,-11.761853153556576
40800,-7.830928883663407
41600,-10.946364510585997
42400,-2.616066430035823
43200,-2.263904451545927
44000,-3.2433887135196566
44800,-8.22556428037253
45600,-2.229542642153498
46400,-2.183348405534661
47200,-5.6331866733136335
48000,-2.3767534524181353
48800,-4.901781646940044
49600,-5.208870801243421
50400,-7.621720899932889
51200,-2.3802398626010133
52000,-1.9392467472120278
52800,-2.7973818531087757
53600,-1.802570692994393
54400,-2.154138758908102
55200,-5.83031624506059
56000,-1.8105334743418655
56800,-4.404133980182063
57600,-7.1144469518433855
58400,-1.9827272392150654
59200,-1.8620989694602925
60000,-4.563395686072953
60800,-1.999037039765767
61600,-1.8865908550932975
62400,-1.909161868821364
63200,-7.231436912557131
64000,-1.745768548639906
64800,-5.805010471589301
65600,-1.864251997989866
66400,-2.600344824269331
67200,-1.9489463473730064
68000,-2.0000439036664672
68800,-1.9646214153494859
69600,-6.712967454619727
70400,-3.1061351571476483
71200,-2.002988402634052
72000,-5.462380425175914
72800,-6.14707101715333
73600,-8.060784638941715
74400,-4.281166937846469
75200,-2.3514456103126693
76000,-6.626228764799119
76800,-1.8515307207496252
77600,-3.1204130251617204
78400,-6.50164824022067
79200,-1.7937905022516123
80000,-4.449663299826828
80800,-1.8320220501868767
81600,-1.9165645961650954
82400,-4.803090634240488
83200,-4.517264431931433
84000,-4.5856705106611475
84800,-7.836700100412127
85600,-1.679256218767639
86400,-4.437569325426294
87200,-3.331846073515028
88000,-3.143381370434459
88800,-5.693794177496982
89600,-3.4395157273658374
90400,-1.7679624831687126
91200,-4.397192445379927
92000,-2.7301113996746706
92800,-2.28996946219331
93600,-2.9924310622848354
94400,-4.363957878589934
95200,-1.9728348209501747
96000,-1.7365356145689004
96800,-6.259546824706142
97600,-1.9185088824801864
98400,-2.927102369572216
99200,-1.9853857775236659
100000,-2.642531280994715
