timestep,average_reward
800,-102.90397673787676
1600,-160.2788860589158
2400,-137.34314113188282
3200,-1092.6058085152404
4000,-385.5404309063558
4800,-37.01213772407296
5600,-31.944772624750826
6400,-24.458006455990713
7200,-14.825394778269095
8000,-2.9241175437748366
8800,-13.8471056437982
9600,-7.741521658231453
10400,-4.371635463391419
11200,-5.200322383021553
12000,-3.7689194470037357
12800,-1.4638990697751217
13600,-4.1778993477184905
14400,-2.6865798361708757
15200,-2.453660816321299
16000,-1.2874313189324544
16800,-1.8289739643452885
17600,-5.904493727772805
18400,-1.7796444343073403
19200,-1.537475249474178
20000,-1.73912347370361
20800,-1.4399562410093867
21600,-1.5375644850864172
22400,-4.458321994862347
23200,-4.651434665576242
24000,-4.520930986173495
24800,-2.9275886352296845
25600,-3.4642642146021143
26400,-6.394597899154294
27200,-4.655417850862026
28000,-5.236785355835547
28800,-5.860862996047152
29600,-1.3997525510828717
30400,-2.3949965268232756
31200,-6.740950786662317
32000,-7.230673334429415
32800,-7.29006355146285
33600,-5.527783419436782
34400,-1.5160660582745322
35200,-4.272725154091612
36000,-5.942967480679421
36800,-1.3440421677757197
37600,-1.843986481515404
38400,-1.315325385226917
39200,-1.4155415881806506
40000,-1.4097828372201961
40800,-4.218210011103302
41600,-2.3778847572329864
42400,-2.146137952524609
43200,-3.255593822688271
44000,-1.3201079913525646
44800,-2.044504717932519
45600,-1.3196345371531164
46400,-2.167270844036699
47200,-1.3381061381426271
48000,-1.396196328428043
48800,-4.6168028707875335
49600,-2.1560763966258047
50400,-2.0180736133758703
51200,-1.296593993534768
52000,-3.2601865652140596
52800,-1.9492637333928329
53600,-1.1664272124117459
54400,-4.043767027247492
55200,-3.5700692986728124
56000,-3.1318017845451056
56800,-1.2752555349070276
57600,-3.7520574623676652
58400,-3.7232094813478653
59200,-2.9868544805323696
60000,-2.6424910606207828
60800,-1.4252657142310552
61600,-4.62548602061421
62400,-2.057536459072919
63200,-1.6814710596187457
64000,-1.3422953327021776
64800,-1.338474851511495
65600,-1.1007439455757202
66400,-1.483097765834609
67200,-3.638822080980942
68000,-1.0643548317315699
68800,-1.648368101783229
69600,-1.2003157391329204
70400,-1.1179524777408338
71200,-1.2976718331339057
72000,-3.079718246709279
72800,-1.7286564883551188
73600,-1.7578318990435198
74400,-1.1645878017782088
75200,-1.348696761229462
76000,-1.1105628018992184
76800,-1.1068500167859776
77600,-4.3581079988915725
78400,-2.5177753952364137
79200,-2.0457937325359588
80000,-1.3418111607973335
80800,-2.2116904536923307
81600,-1.132522103498225
82400,-1.1391499895233352
83200,-1.4310982737356952
84000,-1.2380731207227804
84800,-2.7025454224195653
85600,-2.7551112128421194
86400,-1.4248363370329864
87200,-1.2063363777406786
88000,-2.2413411820775044
88800,-1.3164113166561067
89600,-4.57376449325167
90400,-1.1008764803571105
91200,-2.441027362923516
92000,-3.6120652534355604
92800,-4.051337407579328
93600,-4.087852201772229
94400,-2.563972175215095
95200,-3.0281321388347755
96000,-1.7343614951731663
96800,-1.6766972725422145
97600,-1.5518113205360777
98400,-6.009041088818101
99200,-3.1500364104160132
100000,-1.7381521983863786
